,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
314,2011-12-0201,Orlando Magic,Washington Wizards,182.5,9.5,-670,470,212,6
315,2011-12-0201,Philadelphia 76ers,Chicago Bulls,181.5,1.5,100,-120,180,16
316,2011-12-0201,Boston Celtics,Toronto Raptors,174,9,-480,380,164,36
317,2011-12-0201,New Jersey Nets,Detroit Pistons,185.5,6.5,-255,205,195,3
318,2011-12-0201,Minnesota Timberwolves,Indiana Pacers,194.5,2,-160,140,208,-10
319,2011-12-0201,Milwaukee Bucks,Miami Heat,194.5,6,265,-325,202,8
320,2011-12-0201,New Orleans Pelicans,Phoenix Suns,182,2,-120,100,223,-17
321,2011-12-0201,Dallas Mavericks,Oklahoma City Thunder,196,1.5,-105,-115,181,-9
322,2011-12-0201,San Antonio Spurs,Houston Rockets,196,5,-225,185,190,8
323,2011-12-0201,Portland Trail Blazers,Charlotte Bobcats,186.5,14,-2180,1380,180,44
324,2011-12-0201,Utah Jazz,Los Angeles Clippers,193,3.5,115,-135,212,-2
325,2011-12-0202,Atlanta Hawks,Memphis Grizzlies,182,5,-185,165,173,-19
326,2011-12-0202,New York Knicks,Chicago Bulls,190,4.5,150,-170,207,-3
327,2011-12-0202,San Antonio Spurs,New Orleans Pelicans,182,10,-700,500,174,12
328,2011-12-0202,Sacramento Kings,Portland Trail Blazers,190.5,4,150,-170,187,3
329,2011-12-0202,Los Angeles Clippers,Denver Nuggets,208,2,-110,-110,203,-21
330,2011-12-0202,Golden State Warriors,Utah Jazz,193.5,5,-230,190,220,18
331,2011-12-0203,Philadelphia 76ers,Miami Heat,192,2.5,110,-130,178,-20
332,2011-12-0203,Toronto Raptors,Washington Wizards,182,4,-200,170,195,17
333,2011-12-0203,Orlando Magic,Cleveland Cavaliers,183,7.5,-320,260,196,8
334,2011-12-0203,Detroit Pistons,Milwaukee Bucks,184,3.5,170,-200,168,8
335,2011-12-0203,New Jersey Nets,Minnesota Timberwolves,195.5,2.5,165,-190,213,-3
336,2011-12-0203,Oklahoma City Thunder,Memphis Grizzlies,192.5,9,-450,350,195,7
337,2011-12-0203,Boston Celtics,New York Knicks,181.5,7,-290,245,180,2
338,2011-12-0203,Houston Rockets,Phoenix Suns,197,7,-300,250,180,18
339,2011-12-0203,Dallas Mavericks,Indiana Pacers,188,5,-200,170,185,-11
340,2011-12-0203,Denver Nuggets,Los Angeles Lakers,197.5,4,-160,140,182,-4
341,2011-12-0204,Indiana Pacers,Orlando Magic,186.5,5.5,-220,180,166,-4
342,2011-12-0204,Atlanta Hawks,Philadelphia 76ers,180.5,3.5,-160,140,185,-11
343,2011-12-0204,Washington Wizards,Los Angeles Clippers,199,8,325,-400,188,-26
344,2011-12-0204,New York Knicks,New Jersey Nets,195,7.5,-270,230,191,7
345,2011-12-0204,Detroit Pistons,New Orleans Pelicans,176.5,0,-105,-115,176,2
346,2011-12-0204,Cleveland Cavaliers,Dallas Mavericks,188,5.5,200,-240,179,3
347,2011-12-0204,Minnesota Timberwolves,Houston Rockets,203,2.5,-120,100,191,9
348,2011-12-0204,Milwaukee Bucks,Chicago Bulls,191,4,175,-210,203,-23
349,2011-12-0204,San Antonio Spurs,Oklahoma City Thunder,195,1.5,-145,125,203,11
350,2011-12-0204,Phoenix Suns,Charlotte Bobcats,188,11,-550,425,184,6
351,2011-12-0204,Utah Jazz,Los Angeles Lakers,187.5,1.5,-130,110,183,9
352,2011-12-0204,Sacramento Kings,Golden State Warriors,199.5,0,-125,105,220,8
353,2011-12-0204,Portland Trail Blazers,Denver Nuggets,201,4.5,-280,240,214,20
354,2011-12-0205,Boston Celtics,Memphis Grizzlies,180,5,-190,165,178,18
355,2011-12-0205,Miami Heat,Toronto Raptors,190,16.5,-4500,2000,184,6
356,2011-12-0206,Washington Wizards,Toronto Raptors,186.5,3,-180,160,219,3
357,2011-12-0206,Orlando Magic,Los Angeles Clippers,192,1,-105,-115,209,-5
358,2011-12-0206,Philadelphia 76ers,Los Angeles Lakers,177,3.5,-180,160,185,5
359,2011-12-0206,Atlanta Hawks,Phoenix Suns,186.5,8,-380,310,189,-9
360,2011-12-0206,New Jersey Nets,Chicago Bulls,192,9,450,-600,195,-21
361,2011-12-0206,New York Knicks,Utah Jazz,195.5,4,-155,135,187,11
362,2011-12-0206,Memphis Grizzlies,San Antonio Spurs,186,2.5,-125,105,173,-5
363,2011-12-0206,New Orleans Pelicans,Sacramento Kings,185,0.5,-130,110,192,-8
364,2011-12-0206,Denver Nuggets,Houston Rockets,208,7.5,-280,240,189,-9
365,2011-12-0206,Portland Trail Blazers,Oklahoma City Thunder,198,0,-115,-105,218,-4
366,2011-12-0207,Indiana Pacers,Utah Jazz,190.5,8,-495,395,203,5
367,2011-12-0207,Miami Heat,Cleveland Cavaliers,197.5,13,-1650,1050,198,16
368,2011-12-0207,Boston Celtics,Charlotte Bobcats,177,14.5,-1950,1250,178,10
369,2011-12-0207,Minnesota Timberwolves,Sacramento Kings,197,6,-300,240,170,2
370,2011-12-0207,Milwaukee Bucks,Phoenix Suns,193,6.5,-380,310,212,-2
371,2011-12-0207,Golden State Warriors,Oklahoma City Thunder,205.5,3.5,110,-130,235,-3
372,2011-12-0208,Orlando Magic,Miami Heat,192,3,150,-170,191,13
373,2011-12-0208,Washington Wizards,New York Knicks,194,2,-125,105,200,-14
374,2011-12-0208,Toronto Raptors,Milwaukee Bucks,185.5,2,105,-125,204,-6
375,2011-12-0208,Philadelphia 76ers,San Antonio Spurs,182,4,-160,140,190,-10
376,2011-12-0208,Cleveland Cavaliers,Los Angeles Clippers,195.5,5.5,250,-300,191,7
377,2011-12-0208,Atlanta Hawks,Indiana Pacers,185,3.5,-165,145,184,10
378,2011-12-0208,New Jersey Nets,Detroit Pistons,184.5,5,-165,145,191,-7
379,2011-12-0208,New Orleans Pelicans,Chicago Bulls,182,9,500,-650,157,-23
380,2011-12-0208,Memphis Grizzlies,Minnesota Timberwolves,189,8.5,-340,280,165,5
381,2011-12-0208,Denver Nuggets,Dallas Mavericks,196,1.5,-105,-115,200,-10
382,2011-12-0208,Portland Trail Blazers,Houston Rockets,197,7,-380,310,199,-7
383,2011-12-0209,Boston Celtics,Los Angeles Lakers,176.5,3,-160,140,175,-1
384,2011-12-0209,Denver Nuggets,Golden State Warriors,210.5,6.5,-250,210,210,-8
385,2011-12-0209,Phoenix Suns,Houston Rockets,200.5,2,-180,160,185,-7
386,2011-12-0209,Sacramento Kings,Oklahoma City Thunder,202,7.5,240,-280,207,5
387,2011-12-0210,Washington Wizards,Miami Heat,199,12.5,900,-1400,195,-17
388,2011-12-0210,Toronto Raptors,Boston Celtics,175,5.5,160,-180,160,12
389,2011-12-0210,Orlando Magic,Atlanta Hawks,182,5,-200,170,176,-2
390,2011-12-0210,Charlotte Bobcats,Chicago Bulls,183,13.5,900,-1400,159,-31
391,2011-12-0210,Philadelphia 76ers,Los Angeles Clippers,189,4,-165,145,155,-1
392,2011-12-0210,Cleveland Cavaliers,Milwaukee Bucks,191,0,100,-120,225,-1
393,2011-12-0210,Detroit Pistons,New Jersey Nets,189.5,2.5,-140,120,201,17
394,2011-12-0210,Memphis Grizzlies,Indiana Pacers,184.5,2,-125,105,190,6
395,2011-12-0210,Minnesota Timberwolves,Dallas Mavericks,190,2,110,-130,201,-7
396,2011-12-0210,New Orleans Pelicans,Portland Trail Blazers,182.5,6.5,250,-300,180,-8
397,2011-12-0210,New York Knicks,Los Angeles Lakers,186,3.5,165,-190,177,7
398,2011-12-0210,Utah Jazz,Oklahoma City Thunder,200.5,2,-105,-115,188,-14
399,2011-12-0211,Charlotte Bobcats,Los Angeles Clippers,191,9.5,425,-550,197,-25
400,2011-12-0211,Indiana Pacers,Denver Nuggets,200,4,-150,130,222,-4
401,2011-12-0211,Cleveland Cavaliers,Philadelphia 76ers,185,5.5,260,-320,183,-15
402,2011-12-0211,Minnesota Timberwolves,New York Knicks,194,7.5,-255,215,198,-2
403,2011-12-0211,New Jersey Nets,San Antonio Spurs,191.5,8,450,-600,192,-14
404,2011-12-0211,Dallas Mavericks,Portland Trail Blazers,186,5,-175,155,191,3
405,2011-12-0211,Milwaukee Bucks,Orlando Magic,189.5,1,105,-125,193,-5
406,2011-12-0211,Sacramento Kings,Phoenix Suns,196.5,2.5,-140,120,182,-14
407,2011-12-0212,Toronto Raptors,Los Angeles Lakers,176,6.5,220,-260,186,-2
408,2011-12-0212,Boston Celtics,Chicago Bulls,176,3.5,100,-120,186,4
409,2011-12-0212,Detroit Pistons,Washington Wizards,191.5,7,-255,215,175,-21
410,2011-12-0212,Atlanta Hawks,Miami Heat,190,4.5,155,-175,194,-20
411,2011-12-0212,Golden State Warriors,Houston Rockets,205,2.5,-120,100,203,9
412,2011-12-0212,Memphis Grizzlies,Utah Jazz,189,6,-270,230,186,-10
413,2011-12-0213,Charlotte Bobcats,Philadelphia 76ers,177.5,11.5,640,-1040,187,-9
414,2011-12-0213,Orlando Magic,Minnesota Timberwolves,190,6.5,-205,175,191,13
415,2011-12-0213,New Orleans Pelicans,Utah Jazz,183.5,3.5,175,-215,166,6
416,2011-12-0213,Milwaukee Bucks,Miami Heat,201,6.5,230,-280,210,-18
417,2011-12-0213,Dallas Mavericks,Los Angeles Clippers,188,4.5,-170,150,188,4
418,2011-12-0213,Golden State Warriors,Phoenix Suns,202,4.5,-155,135,198,6
419,2011-12-0214,Indiana Pacers,Miami Heat,198,1,115,-135,195,-15
420,2011-12-0214,Toronto Raptors,New York Knicks,189,3.5,165,-190,177,-3
421,2011-12-0214,Detroit Pistons,San Antonio Spurs,186.5,8.5,325,-405,194,-4
422,2011-12-0214,Oklahoma City Thunder,Utah Jazz,201,11.5,-1225,775,196,26
423,2011-12-0214,Memphis Grizzlies,Houston Rockets,191,4.5,-150,130,176,10
424,2011-12-0214,Chicago Bulls,Sacramento Kings,187.5,11,-1095,695,236,6
425,2011-12-0214,Denver Nuggets,Phoenix Suns,205,7.5,-585,435,201,17
426,2011-12-0214,Portland Trail Blazers,Washington Wizards,191,13.5,-2435,1435,233,-15
427,2011-12-0214,Los Angeles Lakers,Atlanta Hawks,179.5,5.5,-240,200,164,8
428,2011-12-0215,Orlando Magic,Philadelphia 76ers,178.5,3,-155,135,190,16
429,2011-12-0215,Toronto Raptors,San Antonio Spurs,186,7.5,270,-330,219,-7
430,2011-12-0215,New Jersey Nets,Memphis Grizzlies,188,4.5,130,-150,205,-5
431,2011-12-0215,Cleveland Cavaliers,Indiana Pacers,192,2,110,-130,185,11
432,2011-12-0215,Boston Celtics,Detroit Pistons,178,10.5,-500,400,186,-10
433,2011-12-0215,New York Knicks,Sacramento Kings,198.5,7,-260,220,185,15
434,2011-12-0215,Milwaukee Bucks,New Orleans Pelicans,186,9,-500,400,181,-3
435,2011-12-0215,Houston Rockets,Oklahoma City Thunder,203.5,3.5,120,-140,191,1
436,2011-12-0215,Minnesota Timberwolves,Charlotte Bobcats,190.5,12,-650,475,192,12
437,2011-12-0215,Dallas Mavericks,Denver Nuggets,198,6.5,-300,250,186,18
438,2011-12-0215,Phoenix Suns,Atlanta Hawks,187.5,2,105,-125,200,-2
439,2011-12-0215,Golden State Warriors,Portland Trail Blazers,197.5,2.5,-225,185,184,-2
440,2011-12-0215,Los Angeles Clippers,Washington Wizards,198,15,-1400,900,186,18
441,2011-12-0216,Indiana Pacers,New Jersey Nets,192,9,-500,400,181,5
442,2011-12-0216,Chicago Bulls,Boston Celtics,177,8,-340,280,169,9
443,2011-12-0216,Portland Trail Blazers,Los Angeles Clippers,192,1.5,115,-135,145,-3
444,2011-12-0217,Orlando Magic,Milwaukee Bucks,190,8.5,-350,280,179,9
445,2011-12-0217,Philadelphia 76ers,Dallas Mavericks,181,3,-170,150,157,-7
446,2011-12-0217,Toronto Raptors,Charlotte Bobcats,180.5,6.5,-300,240,189,-7
447,2011-12-0217,Cleveland Cavaliers,Miami Heat,198,9,440,-600,198,-24
448,2011-12-0217,Detroit Pistons,Sacramento Kings,191,3.5,-130,110,222,6
449,2011-12-0217,Oklahoma City Thunder,Golden State Warriors,210,10.5,-555,430,197,23
450,2011-12-0217,Houston Rockets,Minnesota Timberwolves,199,6,-210,170,209,-13
451,2011-12-0217,Memphis Grizzlies,Denver Nuggets,197.5,4,-185,160,205,1
452,2011-12-0217,New York Knicks,New Orleans Pelicans,184.5,9,-575,465,174,-4
453,2011-12-0217,Utah Jazz,Washington Wizards,196.5,9.5,-520,410,214,14
454,2011-12-0217,Los Angeles Lakers,Phoenix Suns,185.5,8,-405,325,210,12
455,2011-12-0218,Los Angeles Clippers,San Antonio Spurs,190.5,3.5,-145,125,203,-3
456,2011-12-0218,Chicago Bulls,New Jersey Nets,190,13,-1335,885,182,-12
457,2011-12-0218,Memphis Grizzlies,Golden State Warriors,196.5,5,-250,200,207,1
458,2011-12-0218,Portland Trail Blazers,Atlanta Hawks,181,2.5,-215,175,174,20
459,2011-12-0219,New York Knicks,Dallas Mavericks,186,2,110,-130,201,7
460,2011-12-0219,Miami Heat,Orlando Magic,194,9.5,-600,450,168,12
461,2011-12-0219,Detroit Pistons,Boston Celtics,183,4.5,175,-210,177,15
462,2011-12-0219,Cleveland Cavaliers,Sacramento Kings,199,3,-130,110,185,1
463,2011-12-0219,Indiana Pacers,Charlotte Bobcats,190,11.5,-625,475,181,35
464,2011-12-0219,Minnesota Timberwolves,Philadelphia 76ers,190,1.5,-105,-115,183,1
465,2011-12-0219,Houston Rockets,Utah Jazz,197.5,6,-250,210,186,16
466,2011-12-0219,New Jersey Nets,Milwaukee Bucks,195,2.5,110,-130,177,-7
467,2011-12-0219,Oklahoma City Thunder,Denver Nuggets,210,9.5,-385,315,242,6
468,2011-12-0219,Phoenix Suns,Los Angeles Lakers,189,2.5,125,-145,192,12
469,2011-12-0220,Chicago Bulls,Atlanta Hawks,182.5,10,-700,500,169,11
470,2011-12-0220,New York Knicks,New Jersey Nets,194.5,8,-450,350,192,-8
471,2011-12-0220,Dallas Mavericks,Boston Celtics,181,6,-550,425,162,16
472,2011-12-0220,Milwaukee Bucks,Orlando Magic,188,3,105,-125,183,-3
473,2011-12-0220,Oklahoma City Thunder,New Orleans Pelicans,189,13,-750,550,194,8
474,2011-12-0220,Houston Rockets,Memphis Grizzlies,189,3.5,-145,125,190,4
475,2011-12-0220,Utah Jazz,San Antonio Spurs,192.5,2,125,-145,208,-4
476,2011-12-0220,Denver Nuggets,Minnesota Timberwolves,209,5.5,-165,145,204,2
477,2011-12-0220,Phoenix Suns,Washington Wizards,198.5,6.5,-255,215,192,16
478,2011-12-0220,Los Angeles Lakers,Portland Trail Blazers,181,4,-175,155,195,11
479,2011-12-0220,Golden State Warriors,Los Angeles Clippers,199,1.5,120,-140,201,7
480,2011-12-0221,Indiana Pacers,New Orleans Pelicans,181,10.5,-710,485,225,9
481,2011-12-0221,Cleveland Cavaliers,Detroit Pistons,190,2,-135,115,201,1
482,2011-12-0221,Miami Heat,Sacramento Kings,202.5,14.5,-1650,1050,228,12
483,2011-12-0221,Memphis Grizzlies,Philadelphia 76ers,181.5,0,110,-130,165,13
484,2011-12-0221,Portland Trail Blazers,San Antonio Spurs,188.5,3,-400,320,234,40
485,2011-12-0222,Toronto Raptors,Detroit Pistons,186.5,3.5,-175,155,196,10
486,2011-12-0222,Oklahoma City Thunder,Boston Celtics,186,9,-435,345,223,15
487,2011-12-0222,Cleveland Cavaliers,New Orleans Pelicans,183,5.5,-210,170,173,-5
488,2011-12-0222,Charlotte Bobcats,Indiana Pacers,189.5,6.5,190,-230,190,-14
489,2011-12-0222,Washington Wizards,Sacramento Kings,201,3.5,-150,130,222,-8
490,2011-12-0222,New York Knicks,Atlanta Hawks,188,4,-310,250,181,17
491,2011-12-0222,New Jersey Nets,Orlando Magic,185.5,6,210,-260,199,-17
492,2011-12-0222,Houston Rockets,Philadelphia 76ers,186,3,-165,145,180,6
493,2011-12-0222,Chicago Bulls,Milwaukee Bucks,188.5,12,-760,510,201,19
494,2011-12-0222,Minnesota Timberwolves,Utah Jazz,196.5,4,-215,175,198,2
495,2011-12-0222,Phoenix Suns,Golden State Warriors,204,3,-190,165,210,-2
496,2011-12-0222,Dallas Mavericks,Los Angeles Lakers,179.5,4.5,-180,155,187,-5
497,2011-12-0222,Los Angeles Clippers,Denver Nuggets,205.5,6.5,-485,385,198,8
498,2011-12-0223,Miami Heat,New York Knicks,199.5,10,-600,450,190,14
499,2011-12-0223,Atlanta Hawks,Orlando Magic,179,1,175,-210,161,5
500,2011-12-0223,Denver Nuggets,San Antonio Spurs,202,4,155,-175,213,-15
501,2011-12-0223,Oklahoma City Thunder,Los Angeles Lakers,193,7,-320,260,185,15
502,2011-12-0228,Cleveland Cavaliers,Boston Celtics,184.5,3.5,145,-165,169,-3
503,2011-12-0228,Indiana Pacers,Golden State Warriors,202,5.5,-240,200,180,24
504,2011-12-0228,Detroit Pistons,Philadelphia 76ers,182,3.5,140,-160,165,-29
505,2011-12-0228,Houston Rockets,Toronto Raptors,190,10,-550,425,173,3
506,2011-12-0228,Chicago Bulls,New Orleans Pelicans,179,13,-650,500,194,4
507,2011-12-0228,Milwaukee Bucks,Washington Wizards,200,8.5,-320,260,237,1
508,2011-12-0228,Dallas Mavericks,New Jersey Nets,187.5,11.5,-600,450,185,-1
509,2011-12-0228,Sacramento Kings,Utah Jazz,203,1,-160,140,199,7
510,2011-12-0228,Los Angeles Clippers,Minnesota Timberwolves,195.5,7,-270,230,206,-12
511,2011-12-0229,Washington Wizards,Orlando Magic,191,7.5,325,-400,197,-7
512,2011-12-0229,Philadelphia 76ers,Oklahoma City Thunder,191,3.5,130,-150,180,-4
513,2011-12-0229,Detroit Pistons,Charlotte Bobcats,187.5,6.5,-240,200,203,15
514,2011-12-0229,Atlanta Hawks,Golden State Warriors,192,7,-270,230,167,-3
515,2011-12-0229,Boston Celtics,Milwaukee Bucks,184.5,7,-265,225,198,6
516,2011-12-0229,New York Knicks,Cleveland Cavaliers,192.5,9.5,-600,450,223,17
517,2011-12-0229,New Orleans Pelicans,Toronto Raptors,178,4,-155,135,179,-11
518,2011-12-0229,Memphis Grizzlies,Dallas Mavericks,180,1,-135,115,181,11
519,2011-12-0229,Utah Jazz,Houston Rockets,194.5,2,-130,110,187,21
520,2011-12-0229,San Antonio Spurs,Chicago Bulls,190.5,2.5,-130,110,185,-7
521,2011-12-0229,Denver Nuggets,Portland Trail Blazers,199.5,2,-150,130,199,9
522,2011-12-0229,Los Angeles Lakers,Minnesota Timberwolves,190,7.5,-320,260,189,19
523,2011-12-0301,Orlando Magic,Oklahoma City Thunder,192.5,1,100,-120,207,-3
524,2011-12-0301,Phoenix Suns,Minnesota Timberwolves,200.5,3,-185,165,199,9
525,2011-12-0301,Sacramento Kings,Los Angeles Clippers,200,4,155,-175,208,-8
526,2011-12-0301,Portland Trail Blazers,Miami Heat,196,4.5,155,-175,200,-14
527,2011-12-0302,Toronto Raptors,Memphis Grizzlies,182,4,140,-160,201,-3
528,2011-12-0302,Boston Celtics,New Jersey Nets,187,7,-235,185,201,13
529,2011-12-0302,Atlanta Hawks,Milwaukee Bucks,188,6,-170,150,193,5
530,2011-12-0302,Cleveland Cavaliers,Chicago Bulls,190,8.5,480,-680,203,-21
531,2011-12-0302,New Orleans Pelicans,Dallas Mavericks,176.5,6,260,-320,189,5
532,2011-12-0302,Houston Rockets,Denver Nuggets,205,4.5,-160,140,222,-12
533,2011-12-0302,Philadelphia 76ers,Golden State Warriors,189.5,7,-350,280,188,22
534,2011-12-0302,San Antonio Spurs,Charlotte Bobcats,194.5,14,-3750,1750,174,30
535,2011-12-0302,Utah Jazz,Miami Heat,199,5.5,195,-235,197,1
536,2011-12-0302,Phoenix Suns,Los Angeles Clippers,196,2,130,-150,159,3
537,2011-12-0302,Los Angeles Lakers,Sacramento Kings,192.5,10,-720,495,222,8
538,2011-12-0303,Orlando Magic,Milwaukee Bucks,189.5,9,-525,425,212,16
539,2011-12-0303,Washington Wizards,Cleveland Cavaliers,199,3.5,-175,155,199,3
540,2011-12-0303,Atlanta Hawks,Oklahoma City Thunder,189.5,4,220,-260,187,7
541,2011-12-0303,Memphis Grizzlies,Detroit Pistons,182.5,8.5,-360,300,183,17
542,2011-12-0303,New Orleans Pelicans,Indiana Pacers,181,6,220,-260,186,-18
543,2011-12-0303,Dallas Mavericks,Utah Jazz,187,8,-360,300,198,6
544,2011-12-0303,Portland Trail Blazers,Minnesota Timberwolves,193,6.5,-260,220,232,-12
545,2011-12-0304,Boston Celtics,New York Knicks,187,2.5,-115,-105,226,4
546,2011-12-0304,Los Angeles Lakers,Miami Heat,193,3,125,-145,176,10
547,2011-12-0304,Charlotte Bobcats,New Jersey Nets,188.5,2,170,-200,205,-3
548,2011-12-0304,Toronto Raptors,Golden State Warriors,193.5,1,-120,100,158,8
549,2011-12-0304,Houston Rockets,Los Angeles Clippers,196,1,-135,115,208,-2
550,2011-12-0304,Philadelphia 76ers,Chicago Bulls,180,4.5,150,-170,187,-5
551,2011-12-0304,Phoenix Suns,Sacramento Kings,203.5,5.5,-250,210,184,8
552,2011-12-0304,San Antonio Spurs,Denver Nuggets,206,7.5,-300,250,193,-5
553,2011-12-0305,Cleveland Cavaliers,Utah Jazz,195.5,0,110,-130,209,-9
554,2011-12-0305,Toronto Raptors,Orlando Magic,185.5,6,215,-265,180,-4
555,2011-12-0305,Washington Wizards,Golden State Warriors,203.5,1,-115,-105,220,-20
556,2011-12-0305,Minnesota Timberwolves,Los Angeles Clippers,199.5,2.5,-135,115,189,1
557,2011-12-0305,Milwaukee Bucks,Philadelphia 76ers,188,3,110,-130,190,4
558,2011-12-0305,Chicago Bulls,Indiana Pacers,186,7,-315,255,164,20
559,2011-12-0305,Oklahoma City Thunder,Dallas Mavericks,195,7,-310,250,186,4
560,2011-12-0305,Denver Nuggets,Sacramento Kings,211,10,-495,395,235,3
561,2011-12-0305,Portland Trail Blazers,New Orleans Pelicans,185.5,11,-885,585,160,12
562,2011-12-0306,Indiana Pacers,Atlanta Hawks,183,6.5,-370,300,197,-5
563,2011-12-0306,Charlotte Bobcats,Orlando Magic,189,9.5,425,-550,184,16
564,2011-12-0306,Boston Celtics,Houston Rockets,188.5,5,-195,170,189,5
565,2011-12-0306,Miami Heat,New Jersey Nets,196,12.5,-1905,1205,186,30
566,2011-12-0306,Detroit Pistons,Los Angeles Lakers,185.5,5,205,-255,173,3
567,2011-12-0306,Dallas Mavericks,New York Knicks,189.5,4.5,-145,125,180,10
568,2011-12-0307,Philadelphia 76ers,Boston Celtics,179.5,5,-245,195,174,32
569,2011-12-0307,Toronto Raptors,Houston Rockets,188,1.5,100,-120,214,18
570,2011-12-0307,Charlotte Bobcats,Utah Jazz,194.5,8.5,255,-315,192,-6
571,2011-12-0307,Washington Wizards,Los Angeles Lakers,195,8,270,-340,207,5
572,2011-12-0307,Miami Heat,Atlanta Hawks,190,11.5,-1335,885,175,3
573,2011-12-0307,Milwaukee Bucks,Chicago Bulls,195,8,260,-320,210,-2
574,2011-12-0307,New Jersey Nets,Los Angeles Clippers,194,7,260,-320,201,1
575,2011-12-0307,Minnesota Timberwolves,Portland Trail Blazers,196,2.5,-105,-115,200,12
576,2011-12-0307,Oklahoma City Thunder,Phoenix Suns,202,10,-610,450,219,11
577,2011-12-0307,San Antonio Spurs,New York Knicks,199.5,7,-365,295,223,13
578,2011-12-0307,Denver Nuggets,Cleveland Cavaliers,209,11,-650,460,199,-1
579,2011-12-0307,Sacramento Kings,New Orleans Pelicans,192,4.5,-210,180,197,1
580,2011-12-0307,Golden State Warriors,Memphis Grizzlies,194,1,-120,100,202,-18
581,2011-12-0308,Chicago Bulls,Orlando Magic,183.5,7.5,-265,215,193,-5
582,2011-12-0308,Phoenix Suns,Dallas Mavericks,188,2.5,135,-155,190,2
583,2011-12-0309,Charlotte Bobcats,New Jersey Nets,192,2.5,100,-120,157,-9
584,2011-12-0309,Philadelphia 76ers,Utah Jazz,185,6.5,-305,245,195,13
585,2011-12-0309,Detroit Pistons,Atlanta Hawks,182,2,110,-130,171,1
586,2011-12-0309,Boston Celtics,Portland Trail Blazers,184,3.5,-140,120,190,18
587,2011-12-0309,Minnesota Timberwolves,Los Angeles Lakers,193,0,145,-165,207,-3
588,2011-12-0309,Oklahoma City Thunder,Cleveland Cavaliers,202,13,-1555,1005,186,-6
589,2011-12-0309,Milwaukee Bucks,New York Knicks,202,1.5,110,-130,233,5
590,2011-12-0309,San Antonio Spurs,Los Angeles Clippers,195,5.5,-160,140,228,-12
591,2011-12-0309,Denver Nuggets,New Orleans Pelicans,193.5,11,-835,535,207,13
592,2011-12-0309,Sacramento Kings,Dallas Mavericks,196,3.5,100,-120,207,13
593,2011-12-0310,Washington Wizards,Portland Trail Blazers,199.5,5.5,220,-270,209,-11
594,2011-12-0310,Detroit Pistons,Toronto Raptors,186.5,3.5,-135,115,191,19
595,2011-12-0310,Miami Heat,Indiana Pacers,195.5,9.5,-550,425,184,2
596,2011-12-0310,Minnesota Timberwolves,New Orleans Pelicans,189,9.5,-355,285,184,-6
597,2011-12-0310,New Jersey Nets,Houston Rockets,194,3,215,-265,218,-6
598,2011-12-0310,Chicago Bulls,Utah Jazz,190,10,-845,545,208,14
599,2011-12-0310,Oklahoma City Thunder,Charlotte Bobcats,199.5,15.5,-4405,2005,217,27
600,2011-12-0310,Phoenix Suns,Memphis Grizzlies,192,2,100,-120,189,7
601,2011-12-0310,Golden State Warriors,Dallas Mavericks,193,1.5,-165,145,198,24
602,2011-12-0311,New York Knicks,Philadelphia 76ers,193,3,-140,120,200,-12
603,2011-12-0311,Los Angeles Lakers,Boston Celtics,180,6,-210,175,191,3
604,2011-12-0311,Orlando Magic,Indiana Pacers,186.5,4.5,-225,185,201,13
605,2011-12-0311,Toronto Raptors,Milwaukee Bucks,196.5,0,105,-125,204,-6
606,2011-12-0311,Cleveland Cavaliers,Houston Rockets,195.5,2,-140,120,225,11
607,2011-12-0311,Denver Nuggets,Memphis Grizzlies,201,6,-260,220,185,-3
608,2011-12-0311,Sacramento Kings,Atlanta Hawks,191.5,0,-125,105,205,-7
609,2011-12-0311,Los Angeles Clippers,Golden State Warriors,200,7.5,-340,280,190,-4
610,2011-12-0312,New Jersey Nets,Milwaukee Bucks,198,2,135,-155,204,-6
611,2011-12-0312,Chicago Bulls,New York Knicks,197.5,8,-450,350,203,5
612,2011-12-0312,New Orleans Pelicans,Charlotte Bobcats,184.5,7,-270,220,144,-2
613,2011-12-0312,San Antonio Spurs,Washington Wizards,205,14,-1805,1155,209,15
614,2011-12-0312,Utah Jazz,Detroit Pistons,191.5,7,-310,250,195,15
615,2011-12-0312,Phoenix Suns,Minnesota Timberwolves,199,4,-160,140,251,-3
616,2011-12-0312,Los Angeles Clippers,Boston Celtics,185,5.5,-205,165,179,-9
617,2011-12-0313,Orlando Magic,Miami Heat,189.5,4,160,-180,202,6
618,2011-12-0313,Cleveland Cavaliers,Toronto Raptors,192.5,4.5,-175,155,184,-8
619,2011-12-0313,Indiana Pacers,Portland Trail Blazers,191.5,3.5,-170,150,167,17
620,2011-12-0313,Memphis Grizzlies,Los Angeles Lakers,182,0,-125,105,227,-5
621,2011-12-0313,Oklahoma City Thunder,Houston Rockets,203,10.5,-900,650,207,-1
622,2011-12-0313,Dallas Mavericks,Washington Wizards,198.5,12.5,-1500,900,205,9
623,2011-12-0313,Denver Nuggets,Atlanta Hawks,196,6,-200,170,235,1
624,2011-12-0313,Sacramento Kings,Golden State Warriors,206.5,2.5,-160,140,204,-26
625,2011-12-0314,Indiana Pacers,Philadelphia 76ers,185,1.5,-105,-115,205,17
626,2011-12-0314,New Jersey Nets,Toronto Raptors,187,1.5,-130,110,182,14
